Year,Increment,FishID,Length,Capture_age_chron,Collection_year,Cohort,sex,Weight,Increment_age,PDO,SSTv4
1985,0.0258,R140_3237,32,22,1989,1967,,,19,4.7552367,4.7552367
1986,0.0184,R140_3237,32,22,1989,1967,,,20,5.16935397,5.16935397
1987,0.0295,R140_3237,32,22,1989,1967,,,21,5.8787333,5.8787333
1988,0.0203,R140_3237,32,22,1989,1967,,,22,5.1758543,5.1758543
1980,0.0387,R140_3238,43,23,1991,1968,2,,13,5.1286255,5.1286255
1981,0.0442,R140_3238,43,23,1991,1968,2,,14,6.2012492,6.2012492
1982,0.0369,R140_3238,43,23,1991,1968,2,,15,4.7648766,4.7648766
1983,0.0406,R140_3238,43,23,1991,1968,2,,16,5.8634266,5.8634266
1984,0.0258,R140_3238,43,23,1991,1968,2,,17,5.44916092,5.44916092
1985,0.0295,R140_3238,43,23,1991,1968,2,,18,4.7552367,4.7552367
1986,0.0332,R140_3238,43,23,1991,1968,2,,19,5.16935397,5.16935397
1987,0.035,R140_3238,43,23,1991,1968,2,,20,5.8787333,5.8787333
1988,0.0295,R140_3238,43,23,1991,1968,2,,21,5.1758543,5.1758543
1989,0.0295,R140_3238,43,23,1991,1968,2,,22,5.29498727,5.29498727
1978,0.0867,R140_3241,35,13,1988,1975,2,,4,5.5992486,5.5992486
1979,0.094,R140_3241,35,13,1988,1975,2,,5,6.4476407,6.4476407
1980,0.0534,R140_3241,35,13,1988,1975,2,,6,5.1286255,5.1286255
1981,0.0829,R140_3241,35,13,1988,1975,2,,7,6.2012492,6.2012492
1982,0.0461,R140_3241,35,13,1988,1975,2,,8,4.7648766,4.7648766
1983,0.0774,R140_3241,35,13,1988,1975,2,,9,5.8634266,5.8634266
1984,0.0442,R140_3241,35,13,1988,1975,2,,10,5.44916092,5.44916092
1985,0.0442,R140_3241,35,13,1988,1975,2,,11,4.7552367,4.7552367
1986,0.0424,R140_3241,35,13,1988,1975,2,,12,5.16935397,5.16935397
1987,0.0424,R140_3241,35,13,1988,1975,2,,13,5.8787333,5.8787333
1974,0.0866,R140_3242,30,17,1988,1971,1,,4,5.0031059,5.0031059
1975,0.0534,R140_3242,30,17,1988,1971,1,,5,4.681771867,4.681771867
1976,0.0516,R140_3242,30,17,1988,1971,1,,6,4.61692252,4.61692252
1977,0.0516,R140_3242,30,17,1988,1971,1,,7,5.7243607,5.7243607
1978,0.0442,R140_3242,30,17,1988,1971,1,,8,5.5992486,5.5992486
1979,0.0589,R140_3242,30,17,1988,1971,1,,9,6.4476407,6.4476407
1980,0.046,R140_3242,30,17,1988,1971,1,,10,5.1286255,5.1286255
1981,0.0479,R140_3242,30,17,1988,1971,1,,11,6.2012492,6.2012492
1982,0.0239,R140_3242,30,17,1988,1971,1,,12,4.7648766,4.7648766
1983,0.0516,R140_3242,30,17,1988,1971,1,,13,5.8634266,5.8634266
1984,0.0258,R140_3242,30,17,1988,1971,1,,14,5.44916092,5.44916092
1985,0.046,R140_3242,30,17,1988,1971,1,,15,4.7552367,4.7552367
1986,0.0368,R140_3242,30,17,1988,1971,1,,16,5.16935397,5.16935397
1987,0.046,R140_3242,30,17,1988,1971,1,,17,5.8787333,5.8787333
1977,0.0903,R140_3243,36,13,1988,1975,2,,3,5.7243607,5.7243607
1978,0.0958,R140_3243,36,13,1988,1975,2,,4,5.5992486,5.5992486
1979,0.1105,R140_3243,36,13,1988,1975,2,,5,6.4476407,6.4476407
1980,0.0866,R140_3243,36,13,1988,1975,2,,6,5.1286255,5.1286255
1981,0.1032,R140_3243,36,13,1988,1975,2,,7,6.2012492,6.2012492
1982,0.0663,R140_3243,36,13,1988,1975,2,,8,4.7648766,4.7648766
1983,0.0516,R140_3243,36,13,1988,1975,2,,9,5.8634266,5.8634266
1984,0.0276,R140_3243,36,13,1988,1975,2,,10,5.44916092,5.44916092
1985,0.0461,R140_3243,36,13,1988,1975,2,,11,4.7552367,4.7552367
1986,0.0442,R140_3243,36,13,1988,1975,2,,12,5.16935397,5.16935397
1987,0.0461,R140_3243,36,13,1988,1975,2,,13,5.8787333,5.8787333
1977,0.0718,R140_3244,33,14,1988,1974,2,,4,5.7243607,5.7243607
1978,0.0847,R140_3244,33,14,1988,1974,2,,5,5.5992486,5.5992486
1979,0.0755,R140_3244,33,14,1988,1974,2,,6,6.4476407,6.4476407
1980,0.0589,R140_3244,33,14,1988,1974,2,,7,5.1286255,5.1286255
1981,0.0442,R140_3244,33,14,1988,1974,2,,8,6.2012492,6.2012492
1982,0.0461,R140_3244,33,14,1988,1974,2,,9,4.7648766,4.7648766
1983,0.0718,R140_3244,33,14,1988,1974,2,,10,5.8634266,5.8634266
1984,0.0479,R140_3244,33,14,1988,1974,2,,11,5.44916092,5.44916092
1985,0.0479,R140_3244,33,14,1988,1974,2,,12,4.7552367,4.7552367
1986,0.0479,R140_3244,33,14,1988,1974,2,,13,5.16935397,5.16935397
1987,0.0608,R140_3244,33,14,1988,1974,2,,14,5.8787333,5.8787333
1976,0.0811,R140_3245,34,14,1988,1974,2,,3,4.61692252,4.61692252
1977,0.0792,R140_3245,34,14,1988,1974,2,,4,5.7243607,5.7243607
1978,0.0811,R140_3245,34,14,1988,1974,2,,5,5.5992486,5.5992486
1979,0.0847,R140_3245,34,14,1988,1974,2,,6,6.4476407,6.4476407
1980,0.0516,R140_3245,34,14,1988,1974,2,,7,5.1286255,5.1286255
1981,0.0645,R140_3245,34,14,1988,1974,2,,8,6.2012492,6.2012492
1982,0.0424,R140_3245,34,14,1988,1974,2,,9,4.7648766,4.7648766
1983,0.0608,R140_3245,34,14,1988,1974,2,,10,5.8634266,5.8634266
1984,0.0405,R140_3245,34,14,1988,1974,2,,11,5.44916092,5.44916092
1985,0.0368,R140_3245,34,14,1988,1974,2,,12,4.7552367,4.7552367
1986,0.0405,R140_3245,34,14,1988,1974,2,,13,5.16935397,5.16935397
1987,0.0424,R140_3245,34,14,1988,1974,2,,14,5.8787333,5.8787333
1978,0.0867,R140_3246,33,15,1988,1973,2,,6,5.5992486,5.5992486
1979,0.046,R140_3246,33,15,1988,1973,2,,7,6.4476407,6.4476407
1980,0.0368,R140_3246,33,15,1988,1973,2,,8,5.1286255,5.1286255
1981,0.0534,R140_3246,33,15,1988,1973,2,,9,6.2012492,6.2012492
1982,0.0295,R140_3246,33,15,1988,1973,2,,10,4.7648766,4.7648766
1983,0.0571,R140_3246,33,15,1988,1973,2,,11,5.8634266,5.8634266
1984,0.0239,R140_3246,33,15,1988,1973,2,,12,5.44916092,5.44916092
1985,0.0497,R140_3246,33,15,1988,1973,2,,13,4.7552367,4.7552367
1986,0.0221,R140_3246,33,15,1988,1973,2,,14,5.16935397,5.16935397
1987,0.0331,R140_3246,33,15,1988,1973,2,,15,5.8787333,5.8787333
1976,0.0516,R140_3247,35,16,1988,1972,1,,5,4.61692252,4.61692252
1977,0.0424,R140_3247,35,16,1988,1972,1,,6,5.7243607,5.7243607
1978,0.0718,R140_3247,35,16,1988,1972,1,,7,5.5992486,5.5992486
1979,0.0627,R140_3247,35,16,1988,1972,1,,8,6.4476407,6.4476407
1980,0.0516,R140_3247,35,16,1988,1972,1,,9,5.1286255,5.1286255
1981,0.0461,R140_3247,35,16,1988,1972,1,,10,6.2012492,6.2012492
1982,0.0332,R140_3247,35,16,1988,1972,1,,11,4.7648766,4.7648766
1983,0.0516,R140_3247,35,16,1988,1972,1,,12,5.8634266,5.8634266
1984,0.0442,R140_3247,35,16,1988,1972,1,,13,5.44916092,5.44916092
1985,0.0387,R140_3247,35,16,1988,1972,1,,14,4.7552367,4.7552367
1986,0.0424,R140_3247,35,16,1988,1972,1,,15,5.16935397,5.16935397
1987,0.0424,R140_3247,35,16,1988,1972,1,,16,5.8787333,5.8787333
1975,0.0479,R140_3248,31,16,1988,1972,1,,4,4.681771867,4.681771867
1976,0.0424,R140_3248,31,16,1988,1972,1,,5,4.61692252,4.61692252
1977,0.0534,R140_3248,31,16,1988,1972,1,,6,5.7243607,5.7243607
1978,0.0663,R140_3248,31,16,1988,1972,1,,7,5.5992486,5.5992486
1979,0.0626,R140_3248,31,16,1988,1972,1,,8,6.4476407,6.4476407
1980,0.0442,R140_3248,31,16,1988,1972,1,,9,5.1286255,5.1286255
1981,0.0516,R140_3248,31,16,1988,1972,1,,10,6.2012492,6.2012492
1982,0.0295,R140_3248,31,16,1988,1972,1,,11,4.7648766,4.7648766
1983,0.0516,R140_3248,31,16,1988,1972,1,,12,5.8634266,5.8634266
1984,0.0442,R140_3248,31,16,1988,1972,1,,13,5.44916092,5.44916092
1985,0.0498,R140_3248,31,16,1988,1972,1,,14,4.7552367,4.7552367
1986,0.0332,R140_3248,31,16,1988,1972,1,,15,5.16935397,5.16935397
1987,0.0405,R140_3248,31,16,1988,1972,1,,16,5.8787333,5.8787333
1972,0.0737,R140_3249,39,18,1988,1970,2,,3,4.022677445,4.022677445
1973,0.0608,R140_3249,39,18,1988,1970,2,,4,5.160209667,5.160209667
